Title	Year	Rating	Runtime	Tomato Meter	Box Office
Resident Evil: Retribution	2012	R	96 min	31	$42.3M
Robot & Frank	2012	PG-13	89 min	86	$3.3M
Dredd	2012	R	95 min	78	$13.4M
The Master	2012	R	144 min	85	$16.2M
Trouble with the Curve	2012	PG-13	111 min	50	$35.8M
Head Games	2012	PG-13	95 min	88	$14.1k
House at the End of the Street	2012	PG-13	101 min	10	$31.6M
My Uncle Rafael	2012	PG-13	102 min	20	$0.2M
Backwards	2012	PG	89 min	28	$61.5k
End of Watch	2012	R	109 min	85	$41.0M
Compliance	2012	R	90 min	89	$0.3M
Looper	2012	R	119 min	93	$66.3M
Hotel Transylvania	2012	PG	91 min	44	$148.3M
Trade of Innocents	2012	PG-13	88 min	0	$15.1k
Won't Back Down	2012	PG	121 min	32	$5.3M
Nature Calls	2012	R	79 min	5	$382 
Escape Fire: The Fight to Rescue American Healthcare	2012	PG-13	95 min	81	$97.3k
Pitch Perfect	2012	PG-13	112 min	81	$61.1M
Frankenweenie	2012	PG	87 min	87	$35.3M
Liberal Arts	2012	PG-13	97 min	70	$0.3M
Argo	2012	R	120 min	96	$136.0M
Atlas Shrugged II: The Strike	2012	PG-13	111 min	4	$3.3M
The Perks of Being a Wallflower	2012	PG-13	102 min	85	$17.7M
Here Comes the Boom	2012	PG	105 min	38	$45.3M
Least Among Saints	2012	R	107 min	36	$28.0k
Sinister	2012	R	110 min	62	$48.1M
The Paperboy	2012	R	107 min	43	$0.7M
Just 45 Minutes from Broadway	2012	R	110 min	10	$88.6k
Safety Not Guaranteed	2012	R	86 min	90	$4.0M
Paranormal Activity 4	2012	R	88 min	24	$53.9M
Alex Cross	2012	PG-13	101 min	12	$25.9M
Hating Breitbart	2012	PG-13	85 min	0	$81.4k
Universal Soldier: Day of Reckoning	2012	R	114 min	51	$5.2k
Chasing Mavericks	2012	PG	116 min	31	$6.0M
Silent Hill: Revelation 3D	2012	R	95 min	5	$17.5M
Fun Size	2012	PG-13	86 min	25	$9.4M
Cloud Atlas	2012	R	172 min	66	$27.1M
Long Shot: The Kevin Laue Story	2012	PG-13	93 min	67	$28.4k
The Man with the Iron Fists	2012	R	95 min	49	$15.6M
Flight	2012	R	138 min	77	$93.7M
"For a Good Time, Call..."	2012	R	85 min	55	$1.2M
Vamps	2012	PG-13	92 min	53	$3.0k
Wreck-It Ralph	2012	PG	101 min	86	$189.4M
Save the Date	2012	R	97 min	46	$3.8k
Deadfall	2012	R	95 min	32	$65.8k
Grassroots	2012	R	98 min	52	$6.5k
Skyfall	2012	PG-13	143 min	92	$304.4M
The Sessions	2012	R	95 min	93	$6.0M
30 Beats	2012	R	88 min	5	$14.7k
The Twilight Saga: Breaking Dawn - Part 2	2012	PG-13	115 min	48	$292.3M
Lincoln	2012	PG-13	150 min	90	$182.2M
Rise of the Guardians	2012	PG	97 min	74	$103.4M
Life of Pi	2012	PG	127 min	87	$125.0M
The Bay	2012	R	84 min	77	$30.5k
Red Dawn	2012	PG-13	93 min	12	$44.8M
West of Memphis	2012	R	147 min	95	$0.3M
A Late Quartet	2012	R	105 min	78	$1.6M
Mansome	2012	PG-13	82 min	25	$18.4k
The Collection	2012	R	82 min	37	$6.8M
Killing Them Softly	2012	R	97 min	75	$15.0M
Silent Night	2012	R	94 min	64	$9.7k
Playing for Keeps	2012	PG-13	105 min	3	$13.1M
Waiting for Lightning	2012	PG-13	96 min	43	$19.5k
Smashed	2012	R	81 min	84	$0.4M
The Hobbit: An Unexpected Journey	2012	PG-13	169 min	64	$303.0M
Chasing Ice	2012	PG-13	75 min	96	$1.3M
Hitchcock	2012	PG-13	98 min	62	$6.0M
The Guilt Trip	2012	PG-13	95 min	12	$25.9M
Cirque du Soleil: Worlds Away	2012	PG	91 min	47	$12.5M
Jack Reacher	2012	PG-13	130 min	62	$80.0M
This Is 40	2012	R	134 min	51	$67.5M
Parental Guidance	2012	PG	105 min	18	$77.3M
Django Unchained	2012	R	165 min	88	$162.8M
Silver Linings Playbook	2012	R	122 min	92	$132.1M
Les Misérables	2012	PG-13	158 min	70	$148.8M
Promised Land	2012	R	106 min	51	$7.5M
The Impossible	2012	PG-13	114 min	81	$19.0M
Zero Dark Thirty	2012	R	157 min	93	$95.7M
John Dies at the End	2012	R	99 min	61	$0.1M
Hello I Must Be Going	2012	R	95 min	74	$83.8k
Girls Against Boys	2012	R	93 min	19	$6.1k
Stand Up Guys	2012	R	95 min	38	$3.3M
Bullet to the Head	2012	R	92 min	46	$9.5M
The First Time	2012	PG-13	95 min	47	$17.1k
The Package	2012	R	95 min	0	$1.1k
To the Wonder	2012	R	112 min	45	$0.6M
A Place at the Table	2012	PG	84 min	90	$0.2M
Don't Stop Believin': Everyman's Journey	2012	R	105 min	62	$59.6k
Greedy Lying Bastards	2012	PG-13	90 min	69	$45.0k
A Glimpse Inside the Mind of Charles Swan III	2012	R	86 min	15	$35.6k
Spring Breakers	2012	R	94 min	66	$14.1M
Kiss of the Damned	2012	R	97 min	58	$14.3k
Sleepwalk with Me	2012	PG-13	81 min	83	$2.3M
The Brass Teapot	2012	R	101 min	33	$6.6k
The Lords of Salem	2012	R	101 min	45	$1.2M
The Place Beyond the Pines	2012	R	140 min	80	$21.4M
Filly Brown	2012	R	80 min	45	$2.8M
The Company You Keep	2012	R	125 min	55	$5.1M
At Any Price	2012	R	105 min	51	$0.4M
Stuck in Love	2012	R	97 min	58	$79.0k
The Iceman	2012	R	106 min	66	$1.9M
What Maisie Knew	2012	R	99 min	87	$1.1M
The Reluctant Fundamentalist	2012	R	130 min	53	$0.5M
No Place on Earth	2012	PG-13	83 min	79	$0.2M
No One Lives	2012	R	86 min	49	$72.1k
Mud	2012	PG-13	130 min	98	$21.6M
Disconnect	2012	R	115 min	68	$1.4M
Red Hook Summer	2012	R	121 min	58	$0.3M
Byzantium	2012	R	118 min	63	$84.3k
It's a Disaster	2012	R	88 min	77	$57.2k
Tiger Eyes	2012	PG-13	92 min	66	$25.2k
Évocateur: The Morton Downey Jr. Movie	2012	R	90 min	90	$21.5k
Arthur Newman	2012	R	101 min	20	$0.2M
Much Ado About Nothing	2012	PG-13	109 min	84	$4.3M
Frances Ha	2012	R	86 min	93	$4.1M
Venus and Serena	2012	PG-13	99 min	77	$51.0k
Girl Most Likely	2012	PG-13	103 min	21	$1.4M
Emperor	2012	PG-13	105 min	31	$3.3M
Jayne Mansfield's Car	2012	R	122 min	34	$14.3k
Any Day Now	2012	R	98 min	79	$0.2M
Thanks for Sharing	2012	R	112 min	49	$1.1M
The Citizen	2012	PG-13	99 min	0	$24.3k
Best Man Down	2012	PG-13	89 min	33	$1.8k
The Summit	2012	R	95 min	61	$0.2M
Great Expectations	2012	PG-13	128 min	64	$0.3M
Bettie Page Reveals All	2012	R	101 min	72	$0.1M
The Girl	2012	PG-13	95 min	53	$34.2k
For No Good Reason	2012	R	89 min	63	$67.1k
Aftershock	2012	R	89 min	35	$40.2k
War of the Worlds: Goliath	2012	PG-13	85 min	0	$1.0M
The Queen of Versailles	2012	PG	100 min	94	$2.4M
A Haunted House	2013	R	86 min	10	$40.0M
Gangster Squad	2013	R	113 min	31	$46.0M
The Last Stand	2013	R	107 min	60	$12.0M
Mother of George	2013	R	107 min	93	$0.1M
Broken City	2013	R	109 min	28	$19.7M
Blue Caprice	2013	R	93 min	83	$91.1k
C.O.G.	2013	R	88 min	70	$55.3k
Ghost Team One	2013	R	84 min	36	$7.3k
A.C.O.D.	2013	R	88 min	50	$0.2M
Hansel & Gretel: Witch Hunters	2013	R	88 min	15	$55.7M
Movie 43	2013	R	94 min	4	$8.8M
Parker	2013	R	118 min	41	$17.6M
The Inevitable Defeat of Mister & Pete	2013	R	108 min	91	$0.5M
Warm Bodies	2013	PG-13	98 min	81	$66.4M
Identity Thief	2013	R	111 min	19	$134.5M
Side Effects	2013	R	106 min	83	$32.2M
A Good Day to Die Hard	2013	R	98 min	14	$67.3M
Beautiful Creatures	2013	PG-13	124 min	46	$19.4M
Safe Haven	2013	PG-13	115 min	12	$71.3M
Escape from Planet Earth	2013	PG	89 min	33	$57.0M
The Power of Few	2013	R	96 min	57	$30.4k
Snitch	2013	PG-13	112 min	56	$42.9M
Dark Skies	2013	PG-13	97 min	40	$17.4M
"Bless Me, Ultima"	2013	PG-13	106 min	71	$1.6M
Camp	2013	PG-13	109 min	0	$0.3M
Aftermath	2013	R	84 min	0	$3.0k
Jack the Giant Slayer	2013	PG-13	114 min	52	$65.2M
Stoker	2013	R	99 min	69	$1.7M
Phantom	2013	R	98 min	25	$1.0M
The Last Exorcism Part II	2013	PG-13	88 min	16	$15.2M
21 & Over	2013	R	93 min	27	$25.7M
Girl on a Bicycle	2013	R	101 min	8	$89.4k
Dead Man Down	2013	R	118 min	38	$10.9M
Oz the Great and Powerful	2013	PG	130 min	59	$234.9M
The Wait	2013	R	96 min	18	$2.1k
The Call	2013	R	94 min	43	$51.9M
The Incredible Burt Wonderstone	2013	PG-13	100 min	36	$22.5M
Olympus Has Fallen	2013	R	119 min	48	$98.9M
The Croods	2013	PG	98 min	70	$187.2M
Admission	2013	PG-13	107 min	38	$18.0M
Love and Honor	2013	PG-13	100 min	13	$16.3k
Trance	2013	R	101 min	68	$2.3M
G.I. Joe: Retaliation	2013	PG-13	110 min	28	$122.5M
The Host	2013	PG-13	125 min	8	$26.6M
Temptation: Confessions of a Marriage Counselor	2013	PG-13	111 min	15	$51.9M
Evil Dead	2013	R	91 min	62	$54.2M
Redwood Highway	2013	PG-13	90 min	80	$0.1M
Underdogs	2013	PG	102 min	0	$34.8k
42	2013	PG-13	128 min	79	$95.0M
Not Today	2013	PG-13	118 min	50	$0.3M
Scary Movie 5	2013	PG-13	86 min	4	$32.0M
Oblivion	2013	PG-13	124 min	54	$89.0M
Home Run	2013	PG-13	113 min	45	$2.9M
The Girl on the Train	2013	R	80 min	0	$2.9k
King's Faith	2013	PG-13	108 min	0	$59.3k
Pain & Gain	2013	R	129 min	49	$49.9M
The Big Wedding	2013	R	89 min	7	$21.8M
Syrup	2013	R	90 min	14	$656 
Scatter My Ashes at Bergdorf's	2013	PG-13	93 min	49	$0.5M
Iron Man 3	2013	PG-13	130 min	79	$409.0M
Peeples	2013	PG-13	95 min	37	$9.1M
The Great Gatsby	2013	PG-13	143 min	48	$144.8M
Star Trek Into Darkness	2013	PG-13	132 min	87	$228.8M
Only God Forgives	2013	R	90 min	40	$0.8M
The Hangover Part III	2013	R	100 min	19	$112.2M
Fast & Furious 6	2013	PG-13	130 min	69	$238.7M
Now You See Me	2013	PG-13	115 min	50	$117.7M
After Earth	2013	PG-13	100 min	11	$60.5M
V/H/S/2	2013	R	96 min	70	$21.4k
The Internship	2013	PG-13	119 min	34	$44.7M
The Purge	2013	R	85 min	38	$64.4M
This Is the End	2013	R	107 min	83	$101.5M
Before Midnight	2013	R	109 min	98	$8.1M
Man of Steel	2013	PG-13	143 min	56	$291.0M
Axe Giant: The Wrath of Paul Bunyan	2013	R	90 min	0	$2.5k
The Bling Ring	2013	R	90 min	60	$5.8M
World War Z	2013	PG-13	116 min	68	$202.4M
Monsters University	2013	G	104 min	78	$268.5M
Life of a King	2013	PG-13	100 min	38	$4.2k
Europa Report	2013	PG-13	90 min	80	$0.1M
The Heat	2013	R	117 min	65	$159.6M
Redemption	2013	R	100 min	48	$35.0k
Copperhead	2013	PG-13	120 min	21	$0.2M
White House Down	2013	PG-13	131 min	51	$73.1M
The East	2013	PG-13	116 min	74	$2.3M
Despicable Me 2	2013	PG	98 min	74	$368.0M
The Lone Ranger	2013	PG-13	149 min	31	$89.3M
Kevin Hart: Let Me Explain	2013	R	75 min	63	$32.2M
Man of Tai Chi	2013	R	105 min	70	$0.1M
We Steal Secrets: The Story of WikiLeaks	2013	R	130 min	93	$0.2M
Pacific Rim	2013	PG-13	131 min	72	$101.8M
Grown Ups 2	2013	PG-13	101 min	7	$133.7M
Turbo	2013	PG	96 min	67	$83.0M
Breathe In	2013	R	98 min	55	$81.4k
R.I.P.D.	2013	PG-13	96 min	13	$33.6M
RED 2	2013	PG-13	116 min	43	$53.2M
The Conjuring	2013	R	112 min	86	$137.4M
Drinking Buddies	2013	R	90 min	83	$0.3M
Fruitvale Station	2013	R	85 min	94	$16.1M
The To Do List	2013	R	104 min	52	$3.4M
The Way Way Back	2013	PG-13	103 min	85	$21.5M
The Wolverine	2013	PG-13	126 min	69	$132.6M
The Smurfs 2	2013	PG	105 min	14	$71.0M
The English Teacher	2013	R	93 min	42	$60.2k
2 Guns	2013	R	109 min	64	$75.6M
The Canyons	2013	R	99 min	24	$49.5k
Percy Jackson: Sea of Monsters	2013	PG	106 min	42	$68.6M
We're the Millers	2013	R	110 min	47	$150.4M
Lovelace	2013	R	93 min	54	$0.4M
Elysium	2013	R	109 min	68	$93.1M
Planes	2013	PG	91 min	26	$90.3M
Jobs	2013	PG-13	128 min	27	$16.1M
Ain't Them Bodies Saints	2013	R	96 min	79	$0.4M
Kick-Ass 2	2013	R	103 min	30	$28.8M
Lee Daniels' The Butler	2013	PG-13	132 min	72	$116.6M
Paranoia	2013	PG-13	106 min	6	$7.4M
The Mortal Instruments: City of Bones	2013	PG-13	130 min	12	$31.2M
The Kings of Summer	2013	R	95 min	75	$1.3M
Blue Jasmine	2013	PG-13	98 min	91	$33.4M
The World's End	2013	R	109 min	89	$26.0M
Bad Milo	2013	R	85 min	60	$19.6k
Getaway	2013	PG-13	90 min	2	$10.5M
Last Flight of the Champion	2013	PG	88 min	0	$1.5k
One Direction: This Is Us	2013	PG	92 min	63	$28.9M
Salinger	2013	PG-13	120 min	35	$0.6M
Snake and Mongoose	2013	PG-13	102 min	80	$0.2M
Good Ol' Freda	2013	PG	86 min	84	$0.1M
The Ultimate Life	2013	PG	105 min	18	$1.3M
Riddick	2013	R	119 min	59	$42.0M
All Is Bright	2013	R	107 min	48	$4.6k
In a World...	2013	R	93 min	92	$3.0M
The Investigator	2013	PG-13	101 min	0	$93.7k
The Spectacular Now	2013	R	95 min	93	$6.9M
Insidious: Chapter 2	2013	PG-13	106 min	38	$83.6M
Charlie Countryman	2013	R	103 min	29	$8.0k
The Family	2013	R	111 min	29	$36.9M
Prince Avalanche	2013	R	94 min	83	$0.2M
Kill Your Darlings	2013	R	104 min	76	$1.0M
Prisoners	2013	R	153 min	82	$61.0M
Battle of the Year	2013	PG-13	110 min	6	$8.9M
The Lunchbox	2013	PG	104 min	96	$4.2M
The Short Game	2013	PG	99 min	83	$38.9k
Nothing Left to Fear	2013	R	100 min	8	$7.9k
Cloudy with a Chance of Meatballs 2	2013	PG	95 min	70	$119.8M
Baggage Claim	2013	PG-13	96 min	14	$21.6M
Alone Yet Not Alone	2013	PG-13	103 min	0	$0.7M
Don Jon	2013	R	90 min	80	$24.5M
Austenland	2013	PG-13	97 min	30	$2.2M
Rush	2013	R	123 min	89	$26.9M
Linsanity	2013	PG	89 min	63	$0.3M
Parkland	2013	PG-13	93 min	49	$0.7M
Tim's Vermeer	2013	PG-13	80 min	89	$1.7M
Gravity	2013	PG-13	91 min	97	$274.1M
Grace Unplugged	2013	PG	102 min	50	$2.5M
Runner Runner	2013	R	91 min	8	$19.3M
Metallica Through the Never	2013	R	93 min	78	$3.4M
Captain Phillips	2013	PG-13	134 min	93	$107.1M
Machete Kills	2013	R	107 min	29	$7.9M
Enough Said	2013	PG-13	93 min	96	$17.5M
Walking with the Enemy	2013	PG-13	124 min	44	$0.4M
Plush	2013	R	99 min	29	$2.8k
Escape Plan	2013	R	115 min	49	$25.1M
The Fifth Estate	2013	R	128 min	37	$3.3M
Blackfish	2013	PG-13	83 min	98	$2.1M
Carrie	2013	R	100 min	48	$35.3M
As I Lay Dying	2013	R	110 min	41	$15.0k
Muscle Shoals	2013	PG	111 min	96	$0.7M
Jackass Presents: Bad Grandpa	2013	R	92 min	60	$102.0M
One Chance	2013	PG-13	103 min	63	$89.7k
We Are What We Are	2013	R	105 min	85	$76.6k
The Counselor	2013	R	117 min	34	$17.0M
Innocence	2013	PG-13	96 min	13	$0.3M
Missionary	2013	R	90 min	40	$2.1k
Blood Ties	2013	R	127 min	54	$41.2k
A Perfect Man	2013	R	95 min	20	$388 
Big Sur	2013	R	81 min	45	$35.9k
Free Birds	2013	PG	91 min	18	$55.7M
Last Vegas	2013	PG-13	105 min	46	$63.9M
Cutie and the Boxer	2013	R	82 min	96	$0.2M
Thor: The Dark World	2013	PG-13	112 min	65	$206.4M
The Armstrong Lie	2013	R	124 min	84	$0.4M
The Best Man Holiday	2013	R	123 min	68	$70.5M
The Christmas Candle	2013	PG	100 min	18	$2.2M
Kids for Cash	2013	PG-13	102 min	91	$36.6k
"No God, No Master"	2013	PG-13	94 min	69	$6.8k
Pawn Shop Chronicles	2013	R	112 min	13	$4.9k
Delivery Man	2013	PG-13	105 min	39	$30.7M
Dallas Buyers Club	2013	R	117 min	93	$27.3M
The Hunger Games: Catching Fire	2013	PG-13	146 min	89	$424.6M
Frozen	2013	PG	102 min	89	$400.7M
The Book Thief	2013	PG-13	131 min	46	$21.5M
Oldboy	2013	R	104 min	41	$2.2M
Black Nativity	2013	PG	93 min	48	$7.0M
Homefront	2013	R	100 min	42	$20.1M
Concussion	2013	R	96 min	74	$38.4k
Out of the Furnace	2013	R	116 min	53	$11.3M
I'm in Love with a Church Girl	2013	PG	118 min	6	$2.4M
Afternoon Delight	2013	R	98 min	67	$0.2M
The Hobbit: The Desolation of Smaug	2013	PG-13	161 min	74	$258.4M
Tyler Perry's A Madea Christmas	2013	PG-13	100 min	18	$52.5M
Anchorman 2: The Legend Continues	2013	R	119 min	75	$127.3M
Saving Mr. Banks	2013	PG-13	125 min	80	$83.3M
American Hustle	2013	R	138 min	93	$150.1M
Walking with Dinosaurs 3D	2013	PG	87 min	24	$3.5M
The Secret Life of Walter Mitty	2013	PG	114 min	50	$58.2M
47 Ronin	2013	PG-13	118 min	15	$38.3M
The Wolf of Wall Street	2013	R	180 min	77	$116.9M
Cold Comes the Night	2013	R	90 min	44	$11.6k
Her	2013	R	126 min	94	$25.6M
Lone Survivor	2013	R	121 min	75	$125.1M
After Tiller	2013	PG-13	85 min	94	$66.3k
August: Osage County	2013	R	121 min	64	$37.7M
Inside Llewyn Davis	2013	R	104 min	94	$13.2M
The Unknown Known	2013	PG-13	103 min	83	$0.1M
Raze	2013	R	92 min	45	$3.5k
I Spit on Your Grave 2	2013	R	106 min	0	$441 
Nebraska	2013	R	115 min	91	$17.6M
Labor Day	2013	PG-13	111 min	34	$13.4M
At Middleton	2013	R	99 min	58	$52.9k
The Pretty One	2013	R	90 min	47	$11.2k
Adult World	2013	R	97 min	56	$16.7k
Hell Baby	2013	R	98 min	32	$5.0k
Touchy Feely	2013	R	89 min	36	$36.0k
Twenty Feet from Stardom	2013	PG-13	91 min	99	$4.9M
Under the Skin	2013	R	108 min	85	$2.6M
Narco Cultura	2013	R	103 min	86	$0.1M
Bad Words	2013	R	89 min	65	$7.8M
The Retrieval	2013	R	92 min	92	$50.3k
In Secret	2013	R	107 min	41	$0.4M
Fading Gigolo	2013	R	90 min	54	$3.8M
Joe	2013	R	117 min	86	$0.4M
Oculus	2013	R	104 min	73	$27.7M
Make Your Move	2013	PG-13	110 min	43	$0.1M
Locke	2013	R	85 min	91	$1.4M
Night Moves	2013	R	112 min	85	$0.3M
Filth	2013	R	97 min	62	$34.3k
Savannah	2013	PG-13	101 min	8	$36.7k
The Sacrament	2013	R	99 min	62	$9.0k
Decoding Annie Parker	2013	R	91 min	58	$39.8k
Legends of Oz: Dorothy's Return	2013	PG	88 min	16	$8.5M
Palo Alto	2013	R	100 min	73	$0.8M
Chinese Puzzle	2013	R	117 min	75	$0.3M
Words and Pictures	2013	PG-13	111 min	42	$2.2M
The Immigrant	2013	R	120 min	88	$2.0M
Supermensch: The Legend of Shep Gordon	2013	R	85 min	77	$0.2M
Hateship Loveship	2013	R	104 min	50	$50.6k
Jodorowsky's Dune	2013	PG-13	88 min	98	$0.6M
The Art of the Steal	2013	R	90 min	44	$61.4k
Snowpiercer	2013	R	126 min	95	$4.6M
InAPPropriate Comedy	2013	R	83 min	0	$0.2M
Jake Squared	2013	R	100 min	14	$1.7k
Knights of Badassdom	2013	R	86 min	58	$86.8k
The Zero Theorem	2013	R	107 min	52	$0.3M
Child of God	2013	R	104 min	38	$37.9k
Life of Crime	2013	R	98 min	64	$0.3M
Girl Rising	2013	PG-13	101 min	89	$0.8M
Repentance	2013	R	90 min	0	$1.2M
The Disappearance of Eleanor Rigby: Him	2013	R	89 min	63	$0.6M
Jimi: All Is by My Side	2013	R	118 min	66	$0.3M
Gimme Shelter	2013	PG-13	101 min	22	$1.4M
Third Person	2013	R	137 min	23	$1.0M
The Last of Robin Hood	2013	R	94 min	29	$0.3M
Afflicted	2013	R	85 min	79	$0.1M
Inequality for All	2013	PG	89 min	90	$1.2M
Paranormal Activity: The Marked Ones	2014	R	84 min	37	$32.4M
3 Nights in the Desert	2014	R	90 min	40	$1.3k
The Legend of Hercules	2014	PG-13	99 min	3	$18.8M
Jack Ryan: Shadow Recruit	2014	PG-13	105 min	56	$50.5M
Devil's Due	2014	R	89 min	18	$15.8M
Ride Along	2014	PG-13	99 min	18	$134.1M
The Nut Job	2014	PG	85 min	10	$64.2M
Fed Up	2014	PG	92 min	81	$1.5M
Land Ho!	2014	R	95 min	80	$0.7M
That Awkward Moment	2014	R	94 min	23	$26.0M
The Lego Movie	2014	PG	100 min	96	$257.8M
Vampire Academy	2014	PG-13	104 min	9	$7.8M
The Monuments Men	2014	PG-13	118 min	31	$78.0M
RoboCop	2014	PG-13	117 min	49	$58.6M
Winter's Tale	2014	PG-13	118 min	13	$12.6M
Endless Love	2014	PG-13	104 min	15	$23.4M
About Last Night	2014	R	100 min	68	$48.6M
3 Days to Kill	2014	PG-13	117 min	28	$30.7M
Pompeii	2014	PG-13	105 min	28	$23.2M
Non-Stop	2014	PG-13	106 min	60	$91.7M
Son of God	2014	PG-13	138 min	21	$59.7M
Mr. Peabody & Sherman	2014	PG	92 min	79	$111.5M
300: Rise of an Empire	2014	R	102 min	42	$106.6M
The Great Invisible	2014	PG-13	92 min	90	$10.0k
Take Me to the River	2014	PG	95 min	70	$68.6k
Veronica Mars	2014	PG-13	107 min	78	$3.3M
Need for Speed	2014	PG-13	132 min	22	$43.6M
The Single Moms Club	2014	PG-13	111 min	16	$16.0M
The Bag Man	2014	R	108 min	10	$48.8k
Divergent	2014	PG-13	139 min	40	$150.8M
50 to 1	2014	PG-13	110 min	17	$1.1M
Muppets Most Wanted	2014	PG	107 min	78	$51.2M
God's Not Dead	2014	PG	113 min	16	$60.8M
Noah	2014	PG-13	138 min	77	$101.2M
Sabotage	2014	R	109 min	19	$10.5M
Cesar Chavez	2014	PG-13	102 min	41	$5.6M
Captain America: The Winter Soldier	2014	PG-13	136 min	89	$259.7M
13 Sins	2014	R	93 min	62	$9.1k
Draft Day	2014	R	110 min	61	$28.8M
Rio 2	2014	G	101 min	48	$131.5M
The Raid 2	2014	R	150 min	79	$2.6M
Jinn	2014	PG-13	97 min	10	$0.1M
Heaven Is for Real	2014	PG	99 min	46	$91.4M
A Haunted House 2	2014	R	86 min	8	$17.3M
Transcendence	2014	PG-13	119 min	19	$23.0M
Bears	2014	G	78 min	89	$17.8M
Ballet 422	2014	PG	75 min	86	$0.3M
Glen Campbell: I'll Be Me	2014	PG	116 min	100	$0.4M
Two-Bit Waltz	2014	R	81 min	0	$2.1k
The Quiet Ones	2014	PG-13	98 min	36	$8.5M
The Other Woman	2014	PG-13	109 min	23	$83.9M
The M Word	2014	R	117 min	38	$0.1M
Walk of Shame	2014	R	95 min	12	$39.8k
The Amazing Spider-Man 2	2014	PG-13	142 min	53	$202.9M
Moms' Night Out	2014	PG	98 min	18	$10.4M
The Hornet's Nest	2014	R	93 min	76	$0.3M
Neighbors	2014	R	97 min	73	$150.1M
Million Dollar Arm	2014	PG	124 min	62	$36.4M
Godzilla	2014	PG-13	123 min	74	$200.7M
Blended	2014	PG-13	117 min	14	$46.3M
X-Men: Days of Future Past	2014	PG-13	132 min	91	$233.9M
A Million Ways to Die in the West	2014	R	116 min	33	$42.6M
Maleficent	2014	PG	97 min	49	$241.4M
Edge of Tomorrow	2014	PG-13	113 min	90	$100.1M
The Fault in Our Stars	2014	PG-13	126 min	81	$124.9M
22 Jump Street	2014	R	112 min	85	$191.7M
Hellion	2014	R	99 min	60	$46.1k
How to Train Your Dragon 2	2014	PG	102 min	92	$177.0M
Think Like a Man Too	2014	PG-13	106 min	23	$65.2M
Jersey Boys	2014	R	134 min	52	$47.0M
The Rover	2014	R	103 min	65	$1.1M
The Homesman	2014	R	122 min	82	$2.4M
The Living	2014	R	89 min	43	$5.4k
Happy Christmas	2014	R	82 min	75	$28.9k
Whitey: United States of America v. James J. Bulger	2014	R	107 min	80	$75.6k
Transformers: Age of Extinction	2014	PG-13	165 min	18	$245.4M
Deliver Us from Evil	2014	R	118 min	28	$30.6M
Earth to Echo	2014	PG	91 min	48	$38.9M
America: Imagine the World Without Her	2014	PG-13	105 min	8	$14.4M
Tammy	2014	R	97 min	23	$84.5M
Life Itself	2014	R	120 min	97	$0.8M
The Signal	2014	PG-13	97 min	58	$4.7M
Dawn of the Planet of the Apes	2014	PG-13	130 min	90	$5.1M
Life After Beth	2014	R	89 min	45	$57.3k
Sex Tape	2014	R	94 min	17	$38.5M
Persecuted	2014	PG-13	91 min	0	$1.6M
The Purge: Anarchy	2014	R	103 min	56	$71.5M
The Fluffy Movie: Unity Through Laughter	2014	PG-13	101 min	54	$2.8M
Wish I Was Here	2014	R	106 min	46	$3.6M
Come Back to Me	2014	R	90 min	20	$4.2k
Hercules	2014	PG-13	98 min	60	$72.7M
Rob the Mob	2014	R	104 min	84	$0.2M
Frontera	2014	PG-13	103 min	52	$59.3k
Guardians of the Galaxy	2014	PG-13	121 min	91	$333.2M
The One I Love	2014	R	91 min	80	$0.5M
God's Pocket	2014	R	88 min	36	$0.1M
Teenage Mutant Ninja Turtles	2014	PG-13	101 min	21	$191.2M
Step Up All In	2014	PG-13	112 min	43	$14.9M
Into the Storm	2014	PG-13	89 min	22	$47.6M
The Hundred-Foot Journey	2014	PG	122 min	68	$54.2M
Let's Be Cops	2014	R	104 min	18	$82.4M
Boyhood	2014	R	165 min	98	$25.4M
The Expendables 3	2014	PG-13	126 min	33	$39.3M
Deepsea Challenge 3D	2014	PG	90 min	67	$0.1M
If I Stay	2014	PG-13	107 min	36	$50.5M
The November Man	2014	R	108 min	35	$25.0M
The Two Faces of January	2014	PG-13	96 min	82	$0.5M
Obvious Child	2014	R	84 min	90	$3.1M
Barefoot	2014	PG-13	90 min	14	$11.8k
The Identical	2014	PG	107 min	7	$2.8M
Island of Lemurs: Madagascar	2014	G	39 min	80	$9.8M
The Skeleton Twins	2014	R	93 min	87	$5.3M
Honeymoon	2014	R	87 min	70	$9.2k
Pump	2014	PG	88 min	75	$73.5k
The Drop	2014	R	106 min	89	$10.7M
Atlas Shrugged: Who Is John Galt?	2014	PG-13	99 min	0	$0.8M
Dolphin Tale 2	2014	PG	107 min	67	$42.0M
No Good Deed	2014	PG-13	84 min	10	$52.5M
This Is Where I Leave You	2014	R	103 min	41	$34.3M
The Maze Runner	2014	PG-13	113 min	63	$102.4M
I Origins	2014	R	106 min	52	$5.0M
The Remaining	2014	PG-13	88 min	56	$1.2M
White Bird in a Blizzard	2014	R	91 min	55	$33.5k
The Song	2014	PG-13	116 min	29	$5.5M
The Equalizer	2014	R	132 min	61	$101.5M
Two Night Stand	2014	R	86 min	34	$15.6k
The Boxtrolls	2014	PG	96 min	75	$50.8M
Seymour: An Introduction	2014	PG	84 min	100	$0.6M
Annabelle	2014	R	99 min	29	$84.3M
